candidate_id,dataset,feature_width,fmt_base_average_precision,fmt_base_f1,fmt_feature,fmt_spatial_average_precision,fmt_spatial_f1,gain_base_average_precision,gain_base_f1,gain_spatial_average_precision,gain_spatial_f1,group,raw_pca_base_average_precision,raw_pca_base_f1,raw_pca_spatial_average_precision,raw_pca_spatial_f1,robust_mean_gain,robust_min_gain
c08_aivd4w8,cylinder3d,14,0.9753513032013719,0.9218261413383365,aivd4w8,0.8394064464689188,0.7280701754385965,0.7790962776504959,0.6872152238005897,0.45525080030514536,0.5118180142469487,halfcylinder,0.19625502555087598,0.2346109175377468,0.38415564616377346,0.21625216119164783,0.6083450790007949,0.45525080030514536
c09_aivd4w16,cylinder3d,14,0.9611202982789518,0.9041591320072333,aivd4w16,0.8473336309947971,0.7589928057553957,0.7648652727280758,0.6695482144694865,0.4631779848310236,0.5427406445637479,halfcylinder,0.19625502555087598,0.2346109175377468,0.38415564616377346,0.21625216119164783,0.6100830291480835,0.4631779848310236
c10_aivd6w16,cylinder3d,18,0.952454751150827,0.8843537414965986,aivd6w16,0.8473801646159062,0.7572463768115942,0.5859701028252042,0.4967813349668461,0.2995873161021363,0.23270354716770592,halfcylinder,0.36648464832562283,0.3875724065297525,0.5477928485137699,0.5245428296438883,0.40376057526547315,0.23270354716770592
c11_aivd6w32,cylinder3d,18,0.8949511453601091,0.8142777467930842,aivd6w32,0.8525130918114285,0.7568513119533528,0.5284664970344863,0.4267053402633317,0.3047202432976587,0.23230848230946444,halfcylinder,0.36648464832562283,0.3875724065297525,0.5477928485137699,0.5245428296438883,0.3730501407262352,0.23230848230946444
c12_aivd2w8log,cylinder3d,10,0.9806773778821012,0.9317617866004962,aivd2w8log,0.8461854002204043,0.7244193345888261,0.7825284390347285,0.677844984871701,0.43056479546032506,0.48349092661236326,halfcylinder,0.19814893884737267,0.25391680172879527,0.4156206047600793,0.2409284079764629,0.5936072864947795,0.43056479546032506
c13_aivdq2w8,cylinder3d,20,0.9535593280566047,0.929305912596401,aivdq2w8,0.8342592071407926,0.7014157014157014,0.5940183717318115,0.5442685061126105,0.2800125833809355,0.16508189925911443,halfcylinder,0.3595409563247932,0.38503740648379053,0.5542466237598571,0.536333802156587,0.395845340121118,0.16508189925911443
c14_aivdq4w16,cylinder3d,28,0.9501394111479501,0.9057071960297767,aivdq4w16,0.8455409709382483,0.7334570191713049,0.569008378713108,0.5109703539245135,0.2771769321710922,0.20048404619833193,halfcylinder,0.38113103243484203,0.39473684210526316,0.5683640387671561,0.532972972972973,0.3894099277517614,0.20048404619833193
c15_akin2w8,cylinder3d,40,0.8478962114872918,0.8301647655259823,akin2w8,0.8067692843380143,0.6815856777493606,0.45794098754339885,0.43016476552598226,0.22030796125715024,0.14507945817121026,halfcylinder,0.3899552239438929,0.4,0.5864613230808641,0.5365062195781504,0.3133732931244354,0.14507945817121026
c16_akin4w16,cylinder3d,56,0.8896833445495185,0.875,akin4w16,0.8441207791690412,0.7304347826086957,0.32797729251401975,0.3486842105263158,0.20809213035121832,0.16735377331254686,halfcylinder,0.5617060520354987,0.5263157894736842,0.6360286488178228,0.5630810092961488,0.2630268516760252,0.16735377331254686
c17_all_aivd2w8,cylinder3d,171,0.8889735559752463,0.8222643896268185,fmt_all+aivd2w8,0.8679527371403192,0.7253822629969419,0.2503763539752657,0.17183808024801217,0.2925547251360835,0.255994507894901,halfcylinder,0.6385972019999806,0.6504263093788063,0.5753980120042357,0.46938775510204084,0.2426909168135656,0.17183808024801217
