candidate_id,family_macro_base_average_precision_gain,family_macro_base_f1_gain,family_macro_spatial_average_precision_gain,family_macro_spatial_f1_gain,feature_width,fmt_feature,group,robust_mean_family_macro_gain,robust_min_family_macro_gain
c16_akin4w16,0.298633400057723,0.28451676288926014,0.37370721680983204,0.3026360891148186,56,akin4w16,halfcylinder,0.31487336721790843,0.28451676288926014
c14_aivdq4w16,0.38524959293721667,0.33902227929431855,0.3017450077250812,0.2628888708478045,28,aivdq4w16,halfcylinder,0.3222264377011052,0.2628888708478045
c15_akin2w8,0.3354595614277527,0.3003133227389834,0.2788413164727306,0.23065274672325073,40,akin2w8,halfcylinder,0.2863167368406794,0.23065274672325073
c01_kin4,0.34526904546324255,0.3022580941227176,0.26385523065695915,0.21709316942812654,28,kin4,halfcylinder,0.28211888491776144,0.21709316942812654
c17_all_aivd2w8,0.2526112691412861,0.20496142077438187,0.3940046932952133,0.3023094045723656,171,fmt_all+aivd2w8,halfcylinder,0.2884716969458117,0.20496142077438187
c02_kin6,0.28207899677322856,0.2739711145585401,0.2518082875780535,0.2043498217517481,44,kin6,halfcylinder,0.25305205516539253,0.2043498217517481
c04_all_kin4,0.20762462386916916,0.16757016983124404,0.3520922900962971,0.2559776896856569,189,fmt_all+kin4,halfcylinder,0.2458161933705918,0.16757016983124404
c03_all_kin2,0.15883951728906842,0.13453825657154625,0.3204945571543625,0.24030451409523845,173,fmt_all+kin2,halfcylinder,0.2135442112775539,0.13453825657154625
c13_aivdq2w8,0.30834598404766134,0.26825721831508353,0.37272168471383993,0.3021741422050638,20,aivdq2w8,smokeBuoyancy,0.31287475732041214,0.26825721831508353
c09_aivd4w16,0.30887528282184873,0.2686607880958941,0.36565857053802686,0.25479928037795585,14,aivd4w16,smokeBuoyancy,0.2994984804584314,0.25479928037795585
c10_aivd6w16,0.3082962687081635,0.27071299415776784,0.36499493658421744,0.2505333406268804,18,aivd6w16,smokeBuoyancy,0.2986343850192573,0.2505333406268804
c11_aivd6w32,0.31615370437927703,0.27586314363911446,0.3714519589885751,0.24652408743699228,18,aivd6w32,smokeBuoyancy,0.3024982236109897,0.24652408743699228
c08_aivd4w8,0.31007643431447873,0.2632683998016575,0.3694767212943042,0.24256344292470078,14,aivd4w8,smokeBuoyancy,0.2963462495837853,0.24256344292470078
c16_akin4w16,0.23736416351489864,0.22924988821332426,0.4906500325321018,0.33354619305378863,56,akin4w16,smokeBuoyancy,0.32270256932852837,0.22924988821332426
c15_akin2w8,0.2518775262977354,0.22819936693290477,0.5056228085574042,0.3388934646197073,40,akin2w8,smokeBuoyancy,0.3311482916019379,0.22819936693290477
c02_kin6,0.22550042197938114,0.20179112457672432,0.4974746115465271,0.34722021240321677,44,kin6,smokeBuoyancy,0.31799659262646235,0.20179112457672432
