pool,profile,architecture,points,sampling,augmentation,id,parameters,center_policy,neighbors,encoder_dimensions,standard_convolution,graph_message_passing,current_status
p17,h0,original,32,uniform,none,c072,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,32,uniform,jitter,c073,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,32,uniform,rotate15,c074,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,32,uniform,rotate_so3,c075,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,32,uniform,jitter_rotate15,c076,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,32,uniform,jitter_rotate_so3,c077,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,32,curvature,none,c078,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,32,curvature,jitter,c079,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,32,curvature,rotate15,c080,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,32,curvature,rotate_so3,c081,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,32,curvature,jitter_rotate15,c082,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,32,curvature,jitter_rotate_so3,c083,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,48,uniform,none,c084,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,48,uniform,jitter,c085,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,48,uniform,rotate15,c086,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
p17,h0,original,48,uniform,rotate_so3,c087,79170,every_valid_line,fps6,160,False,False,historical_multicenter_not_singlecenter
